CustomerID,Segment,Cluster,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Predicted_CLV_12m,Expected_Purchases_12m,Probability_Alive,Churn_Probability,Risk_Level,Recommended_Action
12346,Gold Tier,3,326,1,77183.6,1,1,5,115,294.18166801803847,0.0251795734272517,1.0,0.9999776962114252,High,High Priority: Send retention offer
12347,Silver Tier,0,2,7,4310.0,5,5,5,555,3010.6975655071533,0.1878652085717299,0.9996980932908984,2.2303788574990185e-05,Low,Maintain: Standard loyalty program
12348,Silver Tier,0,75,4,1797.24,2,4,4,244,1006.785749714311,0.1074703432675347,0.9991774292051466,2.2303788574993156e-05,Low,Maintain: Standard loyalty program
12349,Silver Tier,0,19,1,1757.55,4,1,4,414,1332.1040378327834,0.114123036862965,1.0,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12350,Inactive,1,310,1,334.4,1,1,2,112,305.82349107964,0.0261763614312115,1.0,0.9999776962114252,High,Low Priority: Automated email only
12352,Silver Tier,0,36,8,2506.04,3,5,5,355,2370.7550443923924,0.2243514492606634,0.9994056360781496,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12353,Inactive,1,204,1,89.0,1,1,1,111,424.55243579789015,0.0363434043495584,1.0,0.9999776962114252,High,Low Priority: Automated email only
12354,Inactive,1,232,1,1079.4,1,1,4,114,385.0635714668843,0.0329616186486809,1.0,0.9999776962114252,High,Low Priority: Automated email only
12355,Inactive,1,214,1,459.4,1,1,2,112,409.5523126461623,0.035058779504,1.0,0.9999776962114252,High,Low Priority: Automated email only
12356,Silver Tier,0,23,3,2811.43,4,3,5,435,782.0819812103747,0.0860614125080726,0.9994781788916342,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12357,Silver Tier,0,33,1,6207.67,4,1,5,415,1136.2013539108086,0.0973255042500641,1.0,2.2303788574990663e-05,Low,Maintain: Standard loyalty program
12358,Silver Tier,0,2,2,1168.06,5,2,4,524,1518.406214599299,0.1000730271782485,0.9994863742683914,2.2303788574990148e-05,Low,Maintain: Standard loyalty program
12359,Silver Tier,0,58,4,6310.03,3,4,5,345,4847.581254224086,0.1147393462105709,0.9992925393826472,2.2303788574990974e-05,Low,Maintain: Standard loyalty program
12360,Silver Tier,0,52,3,2662.06,3,3,5,335,2311.670765624694,0.126028702207824,0.9991859618615913,2.2303788574990307e-05,Low,Maintain: Standard loyalty program
12361,Inactive,1,287,1,189.9,1,1,1,111,325.5795547475773,0.0278679553693218,1.0,0.9999776962114252,High,Low Priority: Automated email only
12362,Silver Tier,0,3,10,5226.2300000000005,5,5,5,555,4687.340986656016,0.3239419489028773,0.9997471884585708,2.2303788574990185e-05,Low,Maintain: Standard loyalty program
12363,Silver Tier,0,110,2,552.0,2,2,3,223,673.2151474041973,0.0704183604402592,0.9988800664433618,0.9999776962114252,High,Send: Standard win-back offer
12364,Silver Tier,0,8,4,1313.1,5,4,4,544,2005.7544878643228,0.2536963100232045,0.9995430755886084,2.2303788574990185e-05,Low,Maintain: Standard loyalty program
12365,Inactive,1,291,2,641.38,1,2,3,123,321.96239575917747,0.0275582345563962,1.0,0.9999776962114252,High,Low Priority: Automated email only
12367,Silver Tier,0,4,1,168.9,5,1,1,511,1587.6067673138905,0.136036511099782,1.0,2.230378857499086e-05,Low,Maintain: Standard loyalty program
12370,Silver Tier,0,51,4,3541.94,3,4,5,345,1762.9576794072923,0.1069890173133354,0.9993623798205132,2.2303788574990785e-05,Low,Maintain: Standard loyalty program
12371,Silver Tier,0,45,2,1887.96,3,2,4,324,1874.4457158823593,0.1711669766897558,0.9989004906703876,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12372,Silver Tier,0,72,3,1298.04,3,3,4,334,1141.1640145083736,0.0928733004516702,0.9991825480120824,2.2303788574991693e-05,Low,Maintain: Standard loyalty program
12373,Inactive,1,311,1,364.6,1,1,2,112,305.018777800336,0.0261074600705156,1.0,0.9999776962114252,High,Low Priority: Automated email only
12374,Silver Tier,0,25,1,742.9300000000001,4,1,3,413,1232.9005241921468,0.1056164161470964,1.0,2.2303788574990107e-05,Low,Maintain: Standard loyalty program
12375,Silver Tier,0,11,2,457.5,5,2,2,522,1210.1923455152787,0.1312423996844133,0.999429834519837,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12377,Inactive,1,315,2,1628.12,1,2,4,124,743.7685591855372,0.0515093500591098,0.9938613912980316,0.9999776962114252,High,Low Priority: Automated email only
12378,Silver Tier,0,130,1,4008.62,2,1,5,215,585.3455299462746,0.0501160616651096,1.0,0.9999776962114252,High,Send: Standard win-back offer
12379,Silver Tier,0,82,2,852.24,2,2,3,223,1042.821709430169,0.0916432751336234,0.9989154932837092,2.2303788574993356e-05,Low,Maintain: Standard loyalty program
12380,Silver Tier,0,22,4,2724.81,4,4,5,445,3175.8717992489464,0.1807429976644772,0.9994533736530606,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12381,Silver Tier,0,5,5,1845.31,5,4,4,544,1774.02747016479,0.3080940191256763,0.9996088229418728,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12383,Inactive,1,185,5,1850.56,1,4,4,144,1290.8874700188408,0.1368276853724325,0.9943798932167937,0.9999776962114252,High,Low Priority: Automated email only
12384,Silver Tier,0,29,2,585.27,4,2,3,423,1161.9987065507648,0.1153349903055632,0.9993184818173938,2.2303788574989992e-05,Low,Maintain: Standard loyalty program
12386,Inactive,1,338,2,401.9,1,2,2,122,406.4320429186952,0.0500092148993559,0.992295798092555,0.9999776962114252,High,Low Priority: Automated email only
12388,Silver Tier,0,16,6,2780.66,4,4,5,445,2287.2153109441033,0.176975112334302,0.9995992895597392,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12390,Silver Tier,0,80,1,549.84,2,1,3,213,783.0733593220475,0.0670573960663036,1.0,2.230378857499312e-05,Low,Maintain: Standard loyalty program
12391,Silver Tier,0,22,1,439.66,4,1,2,412,1287.698184584735,0.1103151500121465,1.0,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12393,Silver Tier,0,72,4,1582.6,3,4,4,344,1239.064958479354,0.1144382400638317,0.9991623371310046,2.2303788574991693e-05,Low,Maintain: Standard loyalty program
12394,Silver Tier,0,64,2,1272.48,3,2,4,324,1370.5726709413168,0.0766000436587401,0.9991976905713966,2.2303788574990974e-05,Low,Maintain: Standard loyalty program
12395,Silver Tier,0,19,12,3018.63,4,5,5,455,2345.5187972437902,0.2952193460387343,0.9996480140077086,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12397,Silver Tier,0,36,2,2409.9,3,2,5,325,2347.1009419392344,0.1074124935735486,0.9992816930254722,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12398,Silver Tier,0,46,1,1635.66,3,1,4,314,1016.603648575807,0.087072670047252,1.0,2.2303788574990107e-05,Low,Maintain: Standard loyalty program
12399,Silver Tier,0,119,4,1108.65,2,4,4,244,1222.042541528601,0.1388802993411927,0.9978271911688062,0.9999776962114252,High,Send: Standard win-back offer
12401,Inactive,1,303,1,84.3,1,1,1,111,311.5776142870179,0.0266690456961384,1.0,0.9999776962114252,High,Low Priority: Automated email only
12402,Inactive,1,323,1,225.6,1,1,1,111,295.68243753942744,0.0253080699234739,1.0,0.9999776962114252,High,Low Priority: Automated email only
12403,Silver Tier,0,50,1,427.7,3,1,2,312,982.1439581906712,0.0841188153604568,1.0,2.2303788574990148e-05,Low,Maintain: Standard loyalty program
12405,Inactive,1,149,1,1710.39,2,1,4,214,534.0998019112836,0.045726211377391,1.0,0.9999776962114252,High,Low Priority: Automated email only
12406,Silver Tier,0,22,2,3415.3,4,2,5,425,2580.0286652954956,0.0869560019927035,0.999398176926123,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12407,Silver Tier,0,50,5,1708.12,3,4,4,344,1859.8065092717056,0.173840975305734,0.9992399325427812,2.2303788574990107e-05,Low,Maintain: Standard loyalty program
12408,Silver Tier,0,33,5,2888.55,4,4,5,445,2389.4582138932165,0.1395247375468775,0.9994188205030812,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12409,Silver Tier,0,79,3,11072.67,2,3,5,235,6431.232600290743,0.1350081171487184,0.998730291254888,2.2303788574994823e-05,Low,Maintain: Standard loyalty program
12410,Inactive,1,309,2,693.3299999999999,1,2,3,123,307.4457237630449,0.0263152609859678,1.0,0.9999776962114252,High,Low Priority: Automated email only
12412,Silver Tier,0,75,3,1226.88,2,3,4,234,1512.4931633374072,0.1423850468155478,0.9987293863923762,2.230378857499312e-05,Low,Maintain: Standard loyalty program
12413,Silver Tier,0,67,3,758.1,3,3,3,333,564.5670274911122,0.0834995955788485,0.9992676582747488,2.2303788574990703e-05,Low,Maintain: Standard loyalty program
