CustomerID,Segment,Recency,Frequency,Monetary,Predicted_CLV_12m,Churn_Probability,Risk_Level,Recommended_Action
12346,Gold Tier,326,1,77183.6,294.18166801803847,0.9999776962114252,High,High Priority: Send retention offer
12347,Silver Tier,2,7,4310.0,3010.6975655071533,2.2303788574990185e-05,Low,Maintain: Standard loyalty program
12348,Silver Tier,75,4,1797.24,1006.785749714311,2.2303788574993156e-05,Low,Maintain: Standard loyalty program
12349,Silver Tier,19,1,1757.55,1332.1040378327834,2.230378857499007e-05,Low,Maintain: Standard loyalty program
12350,Inactive,310,1,334.4,305.82349107964,0.9999776962114252,High,Low Priority: Automated email only
12352,Silver Tier,36,8,2506.04,2370.7550443923924,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12353,Inactive,204,1,89.0,424.55243579789015,0.9999776962114252,High,Low Priority: Automated email only
12354,Inactive,232,1,1079.4,385.0635714668843,0.9999776962114252,High,Low Priority: Automated email only
12355,Inactive,214,1,459.4,409.5523126461623,0.9999776962114252,High,Low Priority: Automated email only
12356,Silver Tier,23,3,2811.43,782.0819812103747,2.230378857499003e-05,Low,Maintain: Standard loyalty program
12357,Silver Tier,33,1,6207.67,1136.2013539108086,2.2303788574990663e-05,Low,Maintain: Standard loyalty program
12358,Silver Tier,2,2,1168.06,1518.406214599299,2.2303788574990148e-05,Low,Maintain: Standard loyalty program
12359,Silver Tier,58,4,6310.03,4847.581254224086,2.2303788574990974e-05,Low,Maintain: Standard loyalty program
12360,Silver Tier,52,3,2662.06,2311.670765624694,2.2303788574990307e-05,Low,Maintain: Standard loyalty program
12361,Inactive,287,1,189.9,325.5795547475773,0.9999776962114252,High,Low Priority: Automated email only
12362,Silver Tier,3,10,5226.2300000000005,4687.340986656016,2.2303788574990185e-05,Low,Maintain: Standard loyalty program
12363,Silver Tier,110,2,552.0,673.2151474041973,0.9999776962114252,High,Send: Standard win-back offer
12364,Silver Tier,8,4,1313.1,2005.7544878643228,2.2303788574990185e-05,Low,Maintain: Standard loyalty program
12365,Inactive,291,2,641.38,321.96239575917747,0.9999776962114252,High,Low Priority: Automated email only
12367,Silver Tier,4,1,168.9,1587.6067673138905,2.230378857499086e-05,Low,Maintain: Standard loyalty program
